time,open,high,low,close,volume
1579082400,8756.06,8808.55,8720,8798.94,3901.101763
1579086000,8799.81,8810,8720,8730,2817.249268
1579089600,8730,8796,8720.38,8764.66,2544.483935
1579093200,8765.2,8916.48,8763.83,8889.96,5287.832127
1579096800,8889.97,8903.02,8760,8856.17,6474.633404
1579100400,8855.69,8865.76,8740.01,8762.74,4480.569782
1579104000,8762.73,8820,8676.08,8778.68,4789.509828
1579107600,8779.43,8804.89,8720,8797,2802.948741
1579111200,8797,8798.19,8707,8746.85,2942.383049
1579114800,8746.85,8785,8742.02,8761.57,1178.614767
1579118400,8761.57,8842.1,8738.37,8814.21,3533.479699
1579122000,8815.21,8860,8765,8830.73,4711.869741
1579125600,8830.61,8869.32,8800,8860.01,2465.708487
1579129200,8861.91,8876.4,8790.76,8821.41,2064.293133
1579132800,8820.01,8859.81,8712.27,8761.02,3227.650513
1579136400,8760.67,8771.95,8613.32,8664.43,4368.51839
1579140000,8663.63,8697.79,8608.53,8650,2502.005309
1579143600,8650,8659,8586,8640.01,2685.284463
1579147200,8640.01,8730,8615,8651.77,1968.717487
1579150800,8651.55,8727.85,8649.01,8700.55,1607.766467
1579154400,8700.66,8727.24,8675,8721.22,1429.429826
1579158000,8721.37,8723.27,8654.69,8680,2136.581795
1579161600,8679.99,8715,8662,8675.44,2415.354251
1579165200,8675.99,8685.87,8606,8645.41,2224.931796
1579168800,8645.71,8662.76,8600.4,8658,2212.895888
1579172400,8658.32,8725,8628.03,8724.91,2928.171544
1579176000,8724.82,8789,8692.35,8720,3168.784806
1579179600,8720,8727,8660,8695.29,2299.756958
1579183200,8695.27,8702.52,8640.35,8686.18,1928.887312
1579186800,8686.57,8725,8668.33,8710.02,1493.606668
1579190400,8710.01,8720.82,8626,8660.19,2557.072437
1579194000,8660.19,8719.11,8651.14,8678.13,1805.17951
1579197600,8678.13,8704,8657.37,8684.19,1474.748288
1579201200,8684,8718,8675,8705,1232.068523
1579204800,8705.01,8750,8690,8744,1550.084023
1579208400,8742.94,8757,8672,8691.15,2129.935623
1579212000,8691.17,8743.21,8690.15,8720.38,1783.581937
1579215600,8720.34,8748,8712.39,8720.01,860.06047
1579219200,8720.15,8743.99,8672.44,8690.31,1988.852577
1579222800,8690.25,8738.8,8677.01,8738.51,1156.787342
1579226400,8738.8,8780,8718.16,8757.06,2083.041074
1579230000,8757.29,8840.4,8751.05,8786.43,3103.062255
1579233600,8786.43,8815.86,8760,8815.29,2088.680278
1579237200,8815.27,8896.89,8791.06,8891.25,4726.039349
1579240800,8891.25,8997,8835.75,8862.7,7987.080952
1579244400,8862.7,8950.36,8843.01,8933.95,2782.157035
1579248000,8935.54,8999,8899.26,8928.85,4796.9862
1579251600,8927.71,8986.27,8924.3,8969,2514.231703
1579255200,8969.36,9041.65,8880.5,8937,6163.066542
1579258800,8937,8962.28,8890.97,8903.45,2483.889697
1579262400,8903.53,8919.41,8765,8811.54,4987.553512
1579266000,8808.17,8865.07,8800,8850.99,2011.840217
1579269600,8851,8852.92,8769.42,8778.69,2562.24524
1579273200,8778.69,8867.29,8774,8850.83,2041.345434
1579276800,8851.39,8923.88,8837.97,8875.96,3259.996818
1579280400,8875.96,8919.42,8855.81,8890.97,2119.03298
1579284000,8890.04,8954.49,8882.59,8920.12,2285.881189
1579287600,8920.5,8955.55,8813,8879.71,3260.055013
